0	0	0
0	2	0
0	4	0
0	6	0
0	8	0
0	10	0
0	12	0
0	14	0
0	16	0
0	18	0
0	20	0
0	22	0
0	24	0
0	26	0
0	28	0
0	30	0
0	32	0
0	34	0
0	36	0
0	38	0
0	40	0
0	42	0
0	44	0
0	46	0
0	48	0
0	50	0
0	52	0
0	54	0
0	56	0
0	58	0
0	60	0
0	62	0
0	64	0
0	66	0
0	68	0
0	70	0
0	72	0
0	74	0
0	76	0
0	78	0
0	80	0
0	82	0
0	84	0
0	86	0
0	88	0
0	90	0
0	92	0
0	94	0
0	96	0
0	98	0
0	100	0
0	102	0
0	104	0
0	106	0
0	108	0
0	110	0
0	112	0
0	114	0
0	116	0
0	118	0
0	120	0
0	122	0
0	124	0
0	126	0
0	129	0
0	131	0
0	133	0
0	135	0
0	137	0
0	139	0
0	141	0
0	143	0
0	145	0
0	147	0
0	149	0
0	151	0
0	153	0
0	155	0
0	157	0
0	159	0
0	161	0
0	163	0
0	165	0
0	167	0
0	169	0
0	171	0
0	173	0
0	175	0
0	177	0
0	179	0
0	181	0
0	183	0
0	185	0
0	187	0
0	189	0
0	191	0
0	193	0
0	195	0
0	197	0
0	199	0
0	201	0
0	203	0
0	205	0
0	207	0
0	209	0
0	211	0
0	213	0
0	215	0
0	217	0
0	219	0
0	221	0
0	223	0
0	225	0
0	227	0
0	229	0
0	231	0
0	233	0
0	235	0
0	237	0
0	239	0
0	241	0
0	243	0
0	245	0
0	247	0
0	249	0
0	251	0
0	253	0
0	255	0
0	255	0
2	255	2
4	255	4
6	255	6
8	255	8
10	255	10
12	255	12
14	255	14
16	255	16
18	255	18
20	255	20
22	255	22
24	255	24
26	255	26
28	255	28
30	255	30
32	255	32
34	255	34
36	255	36
38	255	38
40	255	40
42	255	42
44	255	44
46	255	46
48	255	48
50	255	50
52	255	52
54	255	54
56	255	56
58	255	58
60	255	60
62	255	62
64	255	64
66	255	66
68	255	68
70	255	70
72	255	72
74	255	74
76	255	76
78	255	78
80	255	80
82	255	82
84	255	84
86	255	86
88	255	88
90	255	90
92	255	92
94	255	94
96	255	96
98	255	98
100	255	100
102	255	102
104	255	104
106	255	106
108	255	108
110	255	110
112	255	112
114	255	114
116	255	116
118	255	118
120	255	120
122	255	122
124	255	124
126	255	126
129	255	129
131	255	131
133	255	133
135	255	135
137	255	137
139	255	139
141	255	141
143	255	143
145	255	145
147	255	147
149	255	149
151	255	151
153	255	153
155	255	155
157	255	157
159	255	159
161	255	161
163	255	163
165	255	165
167	255	167
169	255	169
171	255	171
173	255	173
175	255	175
177	255	177
179	255	179
181	255	181
183	255	183
185	255	185
187	255	187
189	255	189
191	255	191
193	255	193
195	255	195
197	255	197
199	255	199
201	255	201
203	255	203
205	255	205
207	255	207
209	255	209
211	255	211
213	255	213
215	255	215
217	255	217
219	255	219
221	255	221
223	255	223
225	255	225
227	255	227
229	255	229
231	255	231
233	255	233
235	255	235
237	255	237
239	255	239
241	255	241
243	255	243
245	255	245
247	255	247
249	255	249
251	255	251
253	255	253
255	255	255
